id_str,created_at,from_user,text,CLEAN,Hashtags,TARGET
519040377840730000,Mon Oct 06 08:24:04 +0000 2014,pazottes,RT @lmadelon: Le @centrepompidou souhaite associer les artistes à la création des outils d'aide à la visite @pazottes #RencNum,RT @lmadelon  Le @centrepompidou souhaite associer les artistes à la création des outils d aide à la visite @pazottes #RencNum, #RencNum, @lmadelon @centrepompidou @pazottes 
519040355833225000,Mon Oct 06 08:23:58 +0000 2014,JulieArtGeek,"RT @Chabadie: À quoi sert la présence des institutions sur les RSN ? #RencNum &gt; créer de l'échange,  prendre le pouls des publics, notammen…",RT @Chabadie  À quoi sert la présence des institutions sur les RSN   #RencNum &gt  créer de l échange   prendre le pouls des publics  notammen…, #RencNum , @Chabadie 
519040350238048000,Mon Oct 06 08:23:57 +0000 2014,pazottes,"RT @sebdaniel: #RencNum @pazottes ""Volonté de maintenir des propositions diverses et de tailles différentes, avec le numérique au cœur du q…",RT @sebdaniel  #RencNum @pazottes  Volonté de maintenir des propositions diverses et de tailles différentes  avec le numérique au cœur du q…, #RencNum , @sebdaniel @pazottes 
519040343220961000,Mon Oct 06 08:23:55 +0000 2014,anachasse,"Aux #rencnum, @gonzagauthier rappelle que le numérique est traité en transversal à Pompidou. Moyen pour l'institution d'innover &amp; d'évoluer.",Aux #rencnum  @gonzagauthier rappelle que le numérique est traité en transversal à Pompidou  Moyen pour l institution d innover &amp  d évoluer , #rencnum , @gonzagauthier 
519040311444931000,Mon Oct 06 08:23:48 +0000 2014,Chabadie,"À quoi sert la présence des institutions sur les RSN ? #RencNum &gt; créer de l'échange,  prendre le pouls des publics, notamment captifs",À quoi sert la présence des institutions sur les RSN   #RencNum &gt  créer de l échange   prendre le pouls des publics  notamment captifs, #RencNum , 
519040298308370000,Mon Oct 06 08:23:45 +0000 2014,Cleliadh,Deux années d'expérimentations avec des lycéens sur twitter ; des parcours-tweets au musée #RencNum,Deux années d expérimentations avec des lycéens sur twitter   des parcours tweets au musée #RencNum, #RencNum, 
519040293887541000,Mon Oct 06 08:23:44 +0000 2014,JulieArtGeek,@gonzagauthier Les lieux patrimoniaux prescripteurs d'usages numériques : par ex présence des #Musees sur les #RSN #RencNum,@gonzagauthier Les lieux patrimoniaux prescripteurs d usages numériques   par ex présence des #Musees sur les #RSN #RencNum, #Musees #RSN #RencNum,@gonzagauthier 
519040291949785000,Mon Oct 06 08:23:43 +0000 2014,comcomclaire,. @gonzagauthier quid de la présence RSN pr @centrepompidou: diffuser ms aussi échanger et recueillir l'info ac les publics  #RencNum,  @gonzagauthier quid de la présence RSN pr @centrepompidou  diffuser ms aussi échanger et recueillir l info ac les publics  #RencNum, #RencNum, @gonzagauthier @centrepompidou 
519040254704386000,Mon Oct 06 08:23:34 +0000 2014,BeaudryStephani,"RT @seeksanusername: Selon @gonzagauthier, le musée doit être également prescripteur des usages numériques #RencNum",RT @seeksanusername  Selon @gonzagauthier  le musée doit être également prescripteur des usages numériques #RencNum, #RencNum, @seeksanusername @gonzagauthier 
519040233971933000,Mon Oct 06 08:23:29 +0000 2014,AMCSTI,"RT @seeksanusername: Selon @gonzagauthier, le musée doit être également prescripteur des usages numériques #RencNum",RT @seeksanusername  Selon @gonzagauthier  le musée doit être également prescripteur des usages numériques #RencNum, #RencNum, @seeksanusername @gonzagauthier 
